epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.724,0.76985,2.43659,1.25894,0.00333,1,0.79023,0.55648,0.63273,3.16644,1.24608,0.0003,0.0003,0.0003
2,15.679,0.77588,1.87011,1.26854,0.00333,1,0.77639,0.52153,0.87783,3.0487,1.61363,0.000613862,0.000613862,0.000613862
3,22.734,0.8669,1.55655,1.32591,0.68979,0.63548,0.70061,0.43939,1.22474,2.98841,1.97955,0.000921388,0.000921388,0.000921388
4,29.558,0.8944,1.43056,1.33728,0.64095,0.56124,0.59939,0.31256,1.19935,3.18906,1.95004,0.00122258,0.00122258,0.00122258
5,36.347,0.96141,1.4084,1.39551,0.84455,0.62857,0.76704,0.40823,1.59992,3.40126,3.36359,0.00151743,0.00151743,0.00151743
6,43.037,0.95603,1.39428,1.39894,0.44766,0.62529,0.59057,0.26703,1.29949,3.21801,2.21689,0.00180595,0.00180595,0.00180595
7,49.646,1.0137,1.44531,1.45772,0.59876,0.8,0.71679,0.36203,1.0619,2.68976,1.84703,0.0018812,0.0018812,0.0018812
8,56.574,0.96659,1.42822,1.45783,0.65619,0.32759,0.45788,0.23899,1.29531,3.06649,2.00452,0.0018614,0.0018614,0.0018614
9,63.697,0.98133,1.42355,1.38946,0.53973,0.65714,0.57994,0.28703,1.08389,2.83471,1.77628,0.0018416,0.0018416,0.0018416
10,70.606,1.01944,1.29191,1.42418,0.50591,0.73151,0.57914,0.35454,1.11345,2.43896,1.92159,0.0018218,0.0018218,0.0018218
11,77.364,1.00702,1.29807,1.44305,0.66931,0.80975,0.70182,0.42294,1.06874,2.56594,1.88597,0.001802,0.001802,0.001802
12,84.072,0.95824,1.1552,1.36102,0.64823,0.77143,0.67747,0.3627,1.17309,2.68728,2.00689,0.0017822,0.0017822,0.0017822
13,90.783,1.008,1.17917,1.46947,0.79702,0.8,0.8811,0.59761,1.00907,1.81516,1.89161,0.0017624,0.0017624,0.0017624
14,97.68,0.99126,1.19595,1.38809,0.75766,0.77143,0.80355,0.534,1.11381,2.34877,2.04219,0.0017426,0.0017426,0.0017426
15,104.384,0.90638,1.09188,1.38941,0.92198,0.8,0.84584,0.54912,1.30994,1.87999,2.38885,0.0017228,0.0017228,0.0017228
16,111.305,0.92881,1.07774,1.41902,0.74282,0.91429,0.89359,0.59591,1.03102,2.15149,1.85123,0.001703,0.001703,0.001703
17,117.962,0.88207,1.1241,1.37191,0.71298,0.78088,0.78512,0.42648,1.1521,2.09967,1.98376,0.0016832,0.0016832,0.0016832
18,124.415,0.85734,1.00771,1.26997,0.74866,0.62857,0.68723,0.4103,1.22485,1.96271,1.99698,0.0016634,0.0016634,0.0016634
19,131.075,0.83804,0.98917,1.28596,0.92534,0.88571,0.91996,0.69245,0.96611,1.40027,1.6932,0.0016436,0.0016436,0.0016436
20,137.575,0.8931,0.98321,1.29045,0.89612,0.88571,0.93013,0.69422,0.83815,1.46249,1.44737,0.0016238,0.0016238,0.0016238
21,144.381,0.86324,1.03972,1.31035,0.88671,0.89471,0.93239,0.7564,0.78769,1.17292,1.37747,0.001604,0.001604,0.001604
22,151.283,0.78285,0.88064,1.23557,0.84961,0.85714,0.90383,0.69516,0.77611,1.20283,1.40135,0.0015842,0.0015842,0.0015842
23,158.071,0.78265,0.83593,1.24522,0.91634,0.91429,0.94822,0.73058,0.81186,1.04587,1.45771,0.0015644,0.0015644,0.0015644
24,164.878,0.82419,0.81743,1.27291,0.9329,0.91429,0.94593,0.66831,1.00254,1.1189,1.637,0.0015446,0.0015446,0.0015446
